33996,055410197901,12,162352,90,13210300
33996,055410197901,09,426,400,613200
33996,055410197901,01,593,10200,19995200
33996,055410197901,02,778,5800,19766850
33996,055410197901,03,91,13000,2887800
33996,055410197901,05,7,2700,92961
33996,055410197901,06,31,49700,4228700
33996,055410197901,08,7,21500,150500
33996,055410197901,14,5,1211400,8176900
33997,055410197901,01,90,11200,1526500
33997,055410197901,02,84,13000,3506300
33997,055410197901,03,2,58100,127100
33997,055410197901,05,413,2700,8558161
