26511,055410197901,12,114437,80,20755666
26511,055410197901,09,429,400,650100
26602,055410197901,12,1515,850,441856
26602,055410197901,09,26,400,56600
26911,055410197901,12,6,850,24350
26911,055410197901,09,5,800,6200
26912,055410197901,12,2,2000,5100
26912,055410197901,09,3,400,5000
26914,055410197901,12,6,2700,5568
26914,055410197901,09,3,400,5000
26915,055410197901,12,150,45,20250
26926,055410197901,12,120,50,18000
26929,055410197901,12,5,3100,9728
26929,055410197901,09,4,2000,5400
26931,055410197901,12,3,2000,10000
26931,055410197901,09,3,400,5000
26932,055410197901,12,2,2000,6000
26932,055410197901,09,3,400,5000
26933,055410197901,12,5,3100,9728
26933,055410197901,09,4,400,5500
26935,055410197901,12,32,4500,16500
26936,055410197901,12,121,4000,23200
26937,055410197901,12,150,150,31500
26938,055410197901,12,240,150,46500
26939,055410197901,12,1,8000,8000
26940,055410197901,12,180,135,29700
26941,055410197901,12,4,1212,9312
26941,055410197901,09,4,2000,5400
26942,055410197901,12,2,1100,2414
26942,055410197901,09,2,400,800
26943,055410197901,12,1,1314,1314
26943,055410197901,09,2,400,2400
26945,055410197901,12,43502,80,8652376
26945,055410197901,09,284,400,440400
26947,055410197901,12,2,1800,4800
26947,055410197901,09,3,400,5000
26949,055410197901,12,3,3000,33000
26949,055410197901,09,9,2000,14400
26950,055410197901,12,4,850,8650
26950,055410197901,09,4,2000,5400
26959,055410197901,12,5,1800,8800
26959,055410197901,09,4,2000,5400
26960,055410197901,12,10,3000,32000
26960,055410197901,09,11,400,25600
26961,055410197901,12,4,1100,6800
26961,055410197901,09,4,400,5400
26962,055410197901,12,5,2000,32000
26962,055410197901,09,4,400,5500
26963,055410197901,12,4,850,7950
26963,055410197901,09,4,2000,5400
26964,055410197901,12,5,20000,32000
26964,055410197901,09,4,400,5500
26965,055410197901,12,5,1100,8800
26965,055410197901,09,4,2000,5400
26966,055410197901,09,3,2800,8400
26967,055410197901,12,5,850,9250
26967,055410197901,09,4,2000,5400
26968,055410197901,12,3,850,5550
26968,055410197901,09,3,400,5000
26969,055410197901,12,2,1314,11314
26969,055410197901,09,7,2000,9200
26970,055410197901,12,3,2700,5700
26970,055410197901,09,3,400,5000
26971,055410197901,12,2,1314,11314
26971,055410197901,09,4,400,6400
26972,055410197901,12,3,2700,5328
26972,055410197901,09,6,400,12800
26977,055410197901,12,13,2700,114100
26977,055410197901,09,19,400,67900
26978,055410197901,12,1,1314,1314
26978,055410197901,09,1,400,400
26979,055410197901,12,2,850,3550
26979,055410197901,09,3,400,5000
26980,055410197901,12,2,1100,2414
26980,055410197901,09,3,2800,3600
26981,055410197901,12,3,1500,6200
26981,055410197901,09,4,2000,5400
26982,055410197901,12,11,2800,56800
26982,055410197901,09,10,400,35800
26984,055410197901,12,5,1100,8428
26984,055410197901,09,4,2000,5400
26985,055410197901,12,3,2000,4628
26985,055410197901,09,3,500,5100
26986,055410197901,12,8,1100,9656
26990,055410197901,12,5,1100,8428
26990,055410197901,09,4,2000,5400
26992,055410197901,12,3,2700,5328
26992,055410197901,09,10,400,35500
26993,055410197901,12,6,1100,11012
26993,055410197901,09,5,400,5800
26994,055410197901,12,6,850,28164
26994,055410197901,09,5,2000,5800
26995,055410197901,12,4,1100,6626
26995,055410197901,09,10,400,25600
26996,055410197901,12,2,2700,5800
26996,055410197901,09,3,400,5000
26997,055410197901,12,3,2700,5328
26997,055410197901,09,3,400,5000
26999,055410197901,12,4,1212,6540
26999,055410197901,09,4,2000,5400
27000,055410197901,12,3,2000,10000
27000,055410197901,09,3,400,5000
27001,055410197901,12,3,2700,5328
27001,055410197901,09,5,400,10600
27003,055410197901,12,3,2700,5328
27003,055410197901,09,3,500,5100
27004,055410197901,12,3,2700,5328
27004,055410197901,09,3,500,5100
